Description	lab	award	annotation_type	assay_term_name	organism	biosample_ontology	experimental_input	aliases	software_used	disease_term_id
ENCODE-rE2G predictions for T-cell; Donor: ENCDO005XFE	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR186NTL	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR186NTL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO072JRH	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR198UKY	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR198UKY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR213WNV	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR213WNV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO769UME	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR217PZP	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR217PZP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO091HDH	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR218FJD	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR218FJD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO045VWP	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR251INE	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR251INE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO143ACT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR270JQK	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR270JQK	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR283MZJ	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR283MZJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO473DQU	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR290NGL	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR290NGL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO252GAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR299BQG	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR299BQG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO637QAZ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR305WLF	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR305WLF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO838UOH	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR310ZGQ	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR310ZGQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO783NZG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR342OGI	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR342OGI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR354SDH	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR354SDH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO028NGF	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR366YTD	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR366YTD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO941PAP	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR385XHV	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR385XHV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO937YKH	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR389IHS	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR389IHS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO181KWF	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR396ZIN	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR396ZIN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO249TXE	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR410IYF	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR410IYF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO786GVO	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR419OAR	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR419OAR	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR420HOT	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR420HOT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO496TPO	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR442GKD	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR442GKD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO256UFN	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR457RVC	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR457RVC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO737JLN	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR467MSP	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR467MSP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO323QDI	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR473LSX	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR473LSX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO033NXX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR496UER	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR496UER	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO000TPT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR497NLU	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR497NLU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO654TNZ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR507XBY	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR507XBY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO804YUR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR540VTN	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR540VTN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO656FVT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR541PUY	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR541PUY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO490PGB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR552TPH	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR552TPH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO282XZV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR560MXA	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR560MXA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO394DKX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR561ZLY	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR561ZLY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO712ENO	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR581RSO	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR581RSO	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO518VWP	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR597URK	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR597URK	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO648MMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR627QIA	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR627QIA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO441UHQ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR627UDJ	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR627UDJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO190HXC	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR628IRM	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR628IRM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO012QTA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR630XDN	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR630XDN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO204VTZ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR631XIF	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR631XIF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO011KGM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR635URJ	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR635URJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO188AUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR642DZF	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR642DZF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO808WEZ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR715TMH	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR715TMH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO462FPT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR784RMA	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR784RMA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO668ZVJ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR785RIM	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR785RIM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO147QAL	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR788SKJ	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR788SKJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO348MRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR803JVQ	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR803JVQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO737NEB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR815DWW	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR815DWW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO880DKA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR837ZSS	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR837ZSS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO483JHX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR863LZT	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR863LZT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO865QXP	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR878ITC	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR878ITC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR926SNI	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR926SNI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR934IKS	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR934IKS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO240EBF	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR965JHW	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR965JHW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for bipolar neuron; Donor: ENCDO336AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000103/	ENCSR626RVD	jesse-engreitz:encode_re2g_predictions_bipolar_neuron_ENCSR626RVD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for endothelial cell; Donor: ENCDO336AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000115/	ENCSR541IET	jesse-engreitz:encode_re2g_predictions_endothelial_cell_ENCSR541IET	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for astrocyte; Donor: ENCDO336AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000127/	ENCSR146KFX	jesse-engreitz:encode_re2g_predictions_astrocyte_ENCSR146KFX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for astrocyte; Donor: ENCDO916IIE	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000127/	ENCSR000EPM	jesse-engreitz:encode_re2g_predictions_astrocyte_ENCSR000EPM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for mesenchymal stem cell; Donor: ENCDO000AAW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000134/	ENCSR731QLJ	jesse-engreitz:encode_re2g_predictions_mesenchymal_stem_cell_ENCSR731QLJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for adipocyte; Donor: ENCDO029QEV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000136/	ENCSR405TXU	jesse-engreitz:encode_re2g_predictions_adipocyte_ENCSR405TXU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for osteocyte; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000137/	ENCSR818HHN	jesse-engreitz:encode_re2g_predictions_osteocyte_ENCSR818HHN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for chondrocyte; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000138/	ENCSR970DQR	jesse-engreitz:encode_re2g_predictions_chondrocyte_ENCSR970DQR	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for type B pancreatic cell; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000169/	ENCSR362ZFC	jesse-engreitz:encode_re2g_predictions_type_B_pancreatic_cell_ENCSR362ZFC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for hepatocyte; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000182/	ENCSR364MFN	jesse-engreitz:encode_re2g_predictions_hepatocyte_ENCSR364MFN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for hepatocyte; Donor: ENCDO102AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000182/	ENCSR000EJU	jesse-engreitz:encode_re2g_predictions_hepatocyte_ENCSR000EJU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for myocyte; Donor: ENCDO000ACW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000187/	ENCSR000EPD	jesse-engreitz:encode_re2g_predictions_myocyte_ENCSR000EPD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for skeletal muscle cell; Donor: ENCDO094AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000188/	ENCSR000EQA	jesse-engreitz:encode_re2g_predictions_skeletal_muscle_cell_ENCSR000EQA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for mesodermal cell; Donor: ENCDO221AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000222/	ENCSR000EMX	jesse-engreitz:encode_re2g_predictions_mesodermal_cell_ENCSR000EMX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for endodermal cell; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000223/	ENCSR166KPV	jesse-engreitz:encode_re2g_predictions_endodermal_cell_ENCSR166KPV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for endodermal cell; Donor: ENCDO000AAW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000223/	ENCSR940CXU	jesse-engreitz:encode_re2g_predictions_endodermal_cell_ENCSR940CXU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for B cell; Donor: ENCDO115AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000236/	ENCSR000EII	jesse-engreitz:encode_re2g_predictions_B_cell_ENCSR000EII	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for B cell; Donor: ENCDO114AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000236/	ENCSR000EMJ	jesse-engreitz:encode_re2g_predictions_B_cell_ENCSR000EMJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for B cell; Donor: ENCDO028NGF	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000236/	ENCSR247IUJ	jesse-engreitz:encode_re2g_predictions_B_cell_ENCSR247IUJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for B cell; Donor: ENCDO190HXC	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000236/	ENCSR381PXW	jesse-engreitz:encode_re2g_predictions_B_cell_ENCSR381PXW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for B cell; Donor: ENCDO383AQS	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000236/	ENCSR468AKF	jesse-engreitz:encode_re2g_predictions_B_cell_ENCSR468AKF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for B cell; Donor: ENCDO579CCQ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000236/	ENCSR891VOV	jesse-engreitz:encode_re2g_predictions_B_cell_ENCSR891VOV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for keratinocyte; Donor: ENCDO302AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000312/	ENCSR000ELH	jesse-engreitz:encode_re2g_predictions_keratinocyte_ENCSR000ELH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for keratinocyte; Donor: ENCDO268AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000312/	ENCSR000EPQ	jesse-engreitz:encode_re2g_predictions_keratinocyte_ENCSR000EPQ	encode:re2g_modelV2.0.0	
