Cluster	DNase_ENCODE_ID	DNase_Output_Type	thresholded_bigInteract	full_predictions	thresholded_bedpe	thresholded_predictions	thresholded_bedpe_SYNAPSE_ID	full_predictions_SYNAPSE_ID	thresholded_bigInteract_SYNAPSE_ID	thresholded_predictions_SYNAPSE_ID
T-cell_ENCSR186NTL	ENCFF648TSX	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR186NTL_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR186NTL_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR186NTL_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR186NTL_thresholded_predictions.tsv.gz	syn55175648	syn55175653	syn55175645	syn55175646
T-cell_ENCSR198UKY	ENCFF293MVC	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR198UKY_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR198UKY_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR198UKY_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR198UKY_thresholded_predictions.tsv.gz	syn55175654	syn55175657	syn55175649	syn55175651
T-cell_ENCSR213WNV	ENCFF967WOH	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR213WNV_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR213WNV_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR213WNV_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR213WNV_thresholded_predictions.tsv.gz	syn55175658	syn55175662	syn55175655	syn55175656
T-cell_ENCSR217PZP	ENCFF906TNE	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR217PZP_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR217PZP_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR217PZP_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR217PZP_thresholded_predictions.tsv.gz	syn55175663	syn55175667	syn55175661	syn55175660
T-cell_ENCSR218FJD	ENCFF285DGZ	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR218FJD_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR218FJD_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR218FJD_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR218FJD_thresholded_predictions.tsv.gz	syn55175666	syn55175672	syn55175664	syn55175665
T-cell_ENCSR251INE	ENCFF377VKY	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR251INE_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR251INE_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR251INE_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR251INE_thresholded_predictions.tsv.gz	syn55175673	syn55175676	syn55175668	syn55175670
T-cell_ENCSR270JQK	ENCFF727ZRD	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR270JQK_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR270JQK_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR270JQK_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR270JQK_thresholded_predictions.tsv.gz	syn55175677	syn55175681	syn55175674	syn55175675
T-cell_ENCSR283MZJ	ENCFF870ABZ	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR283MZJ_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR283MZJ_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR283MZJ_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR283MZJ_thresholded_predictions.tsv.gz	syn55175682	syn55175685	syn55175678	syn55175679
T-cell_ENCSR290NGL	ENCFF728ZLL	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR290NGL_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR290NGL_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR290NGL_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR290NGL_thresholded_predictions.tsv.gz	syn55175686	syn55175691	syn55175683	syn55175684
T-cell_ENCSR299BQG	ENCFF126MXQ	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR299BQG_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR299BQG_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR299BQG_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR299BQG_thresholded_predictions.tsv.gz	syn55175692	syn55175695	syn55175687	syn55175688
T-cell_ENCSR305WLF	ENCFF337XYS	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR305WLF_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR305WLF_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR305WLF_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR305WLF_thresholded_predictions.tsv.gz	syn55175696	syn55175700	syn55175693	syn55175694
T-cell_ENCSR310ZGQ	ENCFF992HSL	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR310ZGQ_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR310ZGQ_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR310ZGQ_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR310ZGQ_thresholded_predictions.tsv.gz	syn55175701	syn55175705	syn55175697	syn55175698
T-cell_ENCSR342OGI	ENCFF278OYI	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR342OGI_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR342OGI_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR342OGI_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR342OGI_thresholded_predictions.tsv.gz	syn55175704	syn55175710	syn55175702	syn55175703
T-cell_ENCSR354SDH	ENCFF485IKK	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR354SDH_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR354SDH_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR354SDH_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR354SDH_thresholded_predictions.tsv.gz	syn55175711	syn55175714	syn55175706	syn55175707
T-cell_ENCSR366YTD	ENCFF575SPN	unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR366YTD_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR366YTD_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR366YTD_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR366YTD_thresholded_predictions.tsv.gz	syn55175715	syn55175719	syn55175712	syn55175713
T-cell_ENCSR385XHV	ENCFF664LPX	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR385XHV_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR385XHV_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR385XHV_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR385XHV_thresholded_predictions.tsv.gz	syn55175720	syn55175723	syn55175716	syn55175717
T-cell_ENCSR389IHS	ENCFF251CIK	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR389IHS_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR389IHS_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR389IHS_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR389IHS_thresholded_predictions.tsv.gz	syn55175724	syn55175729	syn55175721	syn55175722
T-cell_ENCSR396ZIN	ENCFF288WLP	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR396ZIN_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR396ZIN_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR396ZIN_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR396ZIN_thresholded_predictions.tsv.gz	syn55175730	syn55175733	syn55175725	syn55175726
T-cell_ENCSR410IYF	ENCFF907FEO	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR410IYF_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR410IYF_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR410IYF_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR410IYF_thresholded_predictions.tsv.gz	syn55175734	syn55175738	syn55175731	syn55175732
T-cell_ENCSR419OAR	ENCFF018HDG	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR419OAR_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR419OAR_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR419OAR_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR419OAR_thresholded_predictions.tsv.gz	syn55175739	syn55175742	syn55175735	syn55175736
T-cell_ENCSR420HOT	ENCFF425CQF	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR420HOT_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR420HOT_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR420HOT_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR420HOT_thresholded_predictions.tsv.gz	syn55175743	syn55175748	syn55175740	syn55175741
T-cell_ENCSR442GKD	ENCFF127DTN	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR442GKD_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR442GKD_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR442GKD_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR442GKD_thresholded_predictions.tsv.gz	syn55175749	syn55175752	syn55175744	syn55175745
T-cell_ENCSR457RVC	ENCFF787OWI	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR457RVC_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR457RVC_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR457RVC_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR457RVC_thresholded_predictions.tsv.gz	syn55175753	syn55175757	syn55175750	syn55175751
T-cell_ENCSR467MSP	ENCFF821PAI	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR467MSP_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR467MSP_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR467MSP_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR467MSP_thresholded_predictions.tsv.gz	syn55175758	syn55175761	syn55175754	syn55175755
T-cell_ENCSR473LSX	ENCFF800GJQ	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR473LSX_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR473LSX_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR473LSX_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR473LSX_thresholded_predictions.tsv.gz	syn55175762	syn55175767	syn55175759	syn55175760
T-cell_ENCSR496UER	ENCFF715TCC	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR496UER_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR496UER_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR496UER_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR496UER_thresholded_predictions.tsv.gz	syn55175768	syn55175771	syn55175763	syn55175765
T-cell_ENCSR497NLU	ENCFF407PIT	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR497NLU_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR497NLU_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR497NLU_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR497NLU_thresholded_predictions.tsv.gz	syn55175772	syn55175777	syn55175769	syn55175770
T-cell_ENCSR507XBY	ENCFF809SGB	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR507XBY_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR507XBY_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR507XBY_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR507XBY_thresholded_predictions.tsv.gz	syn55175776	syn55175780	syn55175773	syn55175775
