Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	DNase Experiment accession	DNase Experiment date released	DNase Lab	DNase Donor(s)	DNase File accession	DNase Output type	DNase Run type	ENCODE-rE2G v1	thresholded_bedpe_SYNAPSE_ID	full_predictions_SYNAPSE_ID	thresholded_bigInteract_SYNAPSE_ID	thresholded_predictions_SYNAPSE_ID
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR186NTL	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO005XFE/	ENCFF648TSX	alignments	paired-ended	False	syn55175648	syn55175653	syn55175645	syn55175646
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR198UKY	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO072JRH/	ENCFF293MVC	alignments	paired-ended	False	syn55175654	syn55175657	syn55175649	syn55175651
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR213WNV	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO923WRX/	ENCFF967WOH	alignments	paired-ended	False	syn55175658	syn55175662	syn55175655	syn55175656
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR217PZP	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO769UME/	ENCFF906TNE	alignments	paired-ended	False	syn55175663	syn55175667	syn55175661	syn55175660
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR218FJD	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO091HDH/	ENCFF285DGZ	alignments	paired-ended	False	syn55175666	syn55175672	syn55175664	syn55175665
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR251INE	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO045VWP/	ENCFF377VKY	alignments	paired-ended	False	syn55175673	syn55175676	syn55175668	syn55175670
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR270JQK	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO143ACT/	ENCFF727ZRD	alignments	paired-ended	False	syn55175677	syn55175681	syn55175674	syn55175675
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR283MZJ	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO299FMV/	ENCFF870ABZ	alignments	paired-ended	False	syn55175682	syn55175685	syn55175678	syn55175679
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR290NGL	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO473DQU/	ENCFF728ZLL	alignments	paired-ended	False	syn55175686	syn55175691	syn55175683	syn55175684
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR299BQG	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO252GAA/	ENCFF126MXQ	alignments	paired-ended	False	syn55175692	syn55175695	syn55175687	syn55175688
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR305WLF	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO637QAZ/	ENCFF337XYS	alignments	paired-ended	False	syn55175696	syn55175700	syn55175693	syn55175694
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR310ZGQ	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO838UOH/	ENCFF992HSL	alignments	paired-ended	False	syn55175701	syn55175705	syn55175697	syn55175698
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR342OGI	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO783NZG/	ENCFF278OYI	alignments	paired-ended	False	syn55175704	syn55175710	syn55175702	syn55175703
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR354SDH	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO299FMV/	ENCFF485IKK	alignments	paired-ended	False	syn55175711	syn55175714	syn55175706	syn55175707
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR366YTD	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO028NGF/	ENCFF575SPN	unfiltered alignments	single-ended	False	syn55175715	syn55175719	syn55175712	syn55175713
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR385XHV	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO941PAP/	ENCFF664LPX	alignments	paired-ended	False	syn55175720	syn55175723	syn55175716	syn55175717
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR389IHS	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO937YKH/	ENCFF251CIK	alignments	paired-ended	False	syn55175724	syn55175729	syn55175721	syn55175722
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR396ZIN	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO181KWF/	ENCFF288WLP	alignments	paired-ended	False	syn55175730	syn55175733	syn55175725	syn55175726
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR410IYF	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO249TXE/	ENCFF907FEO	alignments	paired-ended	False	syn55175734	syn55175738	syn55175731	syn55175732
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR419OAR	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO786GVO/	ENCFF018HDG	alignments	paired-ended	False	syn55175739	syn55175742	syn55175735	syn55175736
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR420HOT	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO923WRX/	ENCFF425CQF	alignments	paired-ended	False	syn55175743	syn55175748	syn55175740	syn55175741
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR442GKD	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO496TPO/	ENCFF127DTN	alignments	paired-ended	False	syn55175749	syn55175752	syn55175744	syn55175745
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR457RVC	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO256UFN/	ENCFF787OWI	alignments	paired-ended	False	syn55175753	syn55175757	syn55175750	syn55175751
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR467MSP	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO737JLN/	ENCFF821PAI	alignments	paired-ended	False	syn55175758	syn55175761	syn55175754	syn55175755
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR473LSX	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO323QDI/	ENCFF800GJQ	alignments	paired-ended	False	syn55175762	syn55175767	syn55175759	syn55175760
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR496UER	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO033NXX/	ENCFF715TCC	alignments	paired-ended	False	syn55175768	syn55175771	syn55175763	syn55175765
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR497NLU	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO000TPT/	ENCFF407PIT	alignments	paired-ended	False	syn55175772	syn55175777	syn55175769	syn55175770
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR507XBY	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO654TNZ/	ENCFF809SGB	alignments	paired-ended	False	syn55175776	syn55175780	syn55175773	syn55175775
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR540VTN	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO804YUR/	ENCFF096GHS	alignments	paired-ended	False	syn55175781	syn55175786	syn55175778	syn55175779
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR541PUY	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO656FVT/	ENCFF365VAK	alignments	paired-ended	False	syn55175787	syn55175791	syn55175782	syn55175784
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR552TPH	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO490PGB/	ENCFF558ELY	alignments	paired-ended	False	syn55175790	syn55175795	syn55175788	syn55175789
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR560MXA	2022-01-26	John Stamatoyannopoulos, UW	/human-donors/ENCDO282XZV/	ENCFF633EYK	alignments	paired-ended	False	syn55175796	syn55175800	syn55175793	syn55175794
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR561ZLY	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO394DKX/	ENCFF201MUP	alignments	paired-ended	False	syn55175799	syn55175804	syn55175797	syn55175798
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR581RSO	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO712ENO/	ENCFF890PGM	alignments	paired-ended	False	syn55175805	syn55175809	syn55175802	syn55175803
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR597URK	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO518VWP/	ENCFF051GHB	alignments	paired-ended	False	syn55175811	syn55175814	syn55175807	syn55175808
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR627QIA	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO648MMV/	ENCFF283USW	alignments	paired-ended	False	syn55175815	syn55175818	syn55175812	syn55175813
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR627UDJ	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO441UHQ/	ENCFF221YGE	unfiltered alignments	single-ended	False	syn55175828	syn55175822	syn55175816	syn55175817
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR628IRM	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO190HXC/	ENCFF945AXF	unfiltered alignments	single-ended	False	syn55175824	syn55175827	syn55175820	syn55175821
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR630XDN	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO012QTA/	ENCFF283NJI	alignments	paired-ended	False	syn55175830	syn55175833	syn55175825	syn55175826
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR631XIF	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO204VTZ/	ENCFF845VIU	alignments	paired-ended	False	syn55175834	syn55175837	syn55175831	syn55175832
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR635URJ	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO011KGM/	ENCFF304ENV	alignments	paired-ended	False	syn55175838	syn55175843	syn55175835	syn55175836
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR642DZF	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO188AUM/	ENCFF608NVR	alignments	paired-ended	False	syn55175844	syn55175847	syn55175840	syn55175842
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR715TMH	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO808WEZ/	ENCFF423ZPD	alignments	paired-ended	False	syn55175848	syn55175852	syn55175845	syn55175846
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR784RMA	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO462FPT/	ENCFF547RIP	alignments	paired-ended	False	syn55175853	syn55175856	syn55175850	syn55175851
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR785RIM	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO668ZVJ/	ENCFF427ZCV	alignments	paired-ended	False	syn55175858	syn55175862	syn55175854	syn55175855
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR788SKJ	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO147QAL/	ENCFF346ZFK	alignments	paired-ended	False	syn55175861	syn55175866	syn55175859	syn55175860
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR803JVQ	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO348MRX/	ENCFF055SUH	alignments	paired-ended	False	syn55175867	syn55175871	syn55175863	syn55175864
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR815DWW	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO737NEB/	ENCFF387TXI	alignments	paired-ended	False	syn55175872	syn55175875	syn55175868	syn55175869
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR837ZSS	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO880DKA/	ENCFF824MHY	alignments	paired-ended	False	syn55175877	syn55175880	syn55175873	syn55175874
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR863LZT	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO483JHX/	ENCFF167LIP	alignments	paired-ended	False	syn55175881	syn55175886	syn55175878	syn55175879
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR878ITC	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO865QXP/	ENCFF625OES	alignments	paired-ended	False	syn55175887	syn55175890	syn55175882	syn55175883
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR926SNI	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO923WRX/	ENCFF252DLW	alignments	paired-ended	False	syn55175891	syn55175894	syn55175888	syn55175889
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR934IKS	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO299FMV/	ENCFF475QIO	alignments	paired-ended	False	syn55175896	syn55175899	syn55175892	syn55175893
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR965JHW	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO240EBF/	ENCFF207YBC	alignments	paired-ended	False	syn55175900	syn55175904	syn55175897	syn55175898
CL:0000103	bipolar neuron	in vitro differentiated cells	Homo sapiens	doxycycline hyclate	0.5 μg/mL	4 day	NA	NA	NA	NA	NA	NA	ENCSR626RVD	2016-05-10	John Stamatoyannopoulos, UW	/human-donors/ENCDO336AAA/	ENCFF772EJG, ENCFF125JWY	alignments, alignments	paired-ended, paired-ended	True	syn55175905	syn55175908	syn55175901	syn55175902
CL:0000115	endothelial cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR541IET	2021-08-31	John Stamatoyannopoulos, UW	/human-donors/ENCDO336AAA/	ENCFF537CMG, ENCFF271JOQ	alignments, alignments	paired-ended, paired-ended	True	syn55175909	syn55175913	syn55175906	syn55175907
CL:0000127	astrocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR146KFX	2021-02-27	John Stamatoyannopoulos, UW	/human-donors/ENCDO336AAA/	ENCFF639ETA	alignments	paired-ended	False	syn55175915	syn55175918	syn55175910	syn55175911
CL:0000127	astrocyte	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EPM	2010-12-16	John Stamatoyannopoulos, UW	/human-donors/ENCDO916IIE/	ENCFF368UGK, ENCFF451KYB	unfiltered alignments, unfiltered alignments	single-ended, single-ended	True	syn55175919	syn55175923	syn55175916	syn55175917
CL:0000134	mesenchymal stem cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR731QLJ	2013-07-31	John Stamatoyannopoulos, UW	/human-donors/ENCDO000AAW/	ENCFF701GQV	unfiltered alignments	paired-ended & single-ended	True	syn55175924	syn55175927	syn55175920	syn55175922
CL:0000136	adipocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR405TXU	2015-08-31	John Stamatoyannopoulos, UW	/human-donors/ENCDO029QEV/	ENCFF723BNI, ENCFF239CCZ	alignments, alignments	paired-ended, paired-ended	True	syn55175928	syn55175933	syn55175925	syn55175926
CL:0000137	osteocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR818HHN	2021-11-04	John Stamatoyannopoulos, UW	/human-donors/ENCDO222AAA/	ENCFF039RUP	alignments	paired-ended	True	syn55175934	syn55175937	syn55175929	syn55175932
CL:0000138	chondrocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR970DQR	2021-11-04	John Stamatoyannopoulos, UW	/human-donors/ENCDO222AAA/	ENCFF098QWQ, ENCFF099TKH	alignments, alignments	paired-ended, paired-ended	True	syn55175938	syn55175942	syn55175935	syn55175936
CL:0000169	type B pancreatic cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR362ZFC	2021-11-04	John Stamatoyannopoulos, UW	/human-donors/ENCDO222AAA/	ENCFF843AJO	alignments	paired-ended	True	syn55175943	syn55175947	syn55175940	syn55175941
CL:0000182	hepatocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR364MFN	2016-06-14	John Stamatoyannopoulos, UW	/human-donors/ENCDO222AAA/	ENCFF538CJS, ENCFF851CVH	alignments, alignments	paired-ended, paired-ended	True	syn55175948	syn55175952	syn55175944	syn55175945
CL:0000182	hepatocyte	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EJU	2011-04-19	Gregory Crawford, Duke	/human-donors/ENCDO102AAA/	ENCFF071UJW	unfiltered alignments	single-ended	False	syn55175953	syn55175956	syn55175950	syn55175951
CL:0000187	myocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EPD	2012-06-12	John Stamatoyannopoulos, UW	/human-donors/ENCDO000ACW/	ENCFF139KTJ, ENCFF517TZQ	unfiltered alignments, unfiltered alignments	single-ended, paired-ended & single-ended	True	syn55175957	syn55175961	syn55175954	syn55175955
CL:0000188	skeletal muscle cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EQA	2010-12-14	John Stamatoyannopoulos, UW	/human-donors/ENCDO094AAA/	ENCFF724SPV	unfiltered alignments	single-ended	True	syn55175962	syn55175965	syn55175959	syn55175960
CL:0000222	mesodermal cell	in vitro differentiated cells	Homo sapiens	Activin A, Fibroblast growth factor 2, Bone morphogenetic protein 4	6 ng/mL, 5 ng/mL, 10 ng/mL	2 day	NA	NA	NA	NA	NA	NA	ENCSR000EMX	2012-03-06	John Stamatoyannopoulos, UW	/human-donors/ENCDO221AAA/	ENCFF604YMS	unfiltered alignments	single-ended	True	syn55175966	syn55175970	syn55175963	syn55175964
CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR166KPV	2017-12-13	John Stamatoyannopoulos, UW	/human-donors/ENCDO222AAA/	ENCFF308CYR, ENCFF579AOS	alignments, alignments	paired-ended, paired-ended	True	syn55175971	syn55175974	syn55175968	syn55175969
CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR940CXU	2022-01-26	John Stamatoyannopoulos, UW	/human-donors/ENCDO000AAW/	ENCFF953MMX	alignments	paired-ended	False	syn55175977	syn55175980	syn55175972	syn55175973
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EII	2012-08-28	Gregory Crawford, Duke	/human-donors/ENCDO115AAA/	ENCFF047WQS	unfiltered alignments	single-ended	False	syn55175981	syn55175984	syn55175978	syn55175979
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EMJ	2011-10-19	John Stamatoyannopoulos, UW	/human-donors/ENCDO114AAA/	ENCFF168UUE, ENCFF138JHZ	unfiltered alignments, unfiltered alignments	single-ended, single-ended	False	syn55175986	syn55175990	syn55175982	syn55175983
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR247IUJ	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO028NGF/	ENCFF389YHU	unfiltered alignments	single-ended	False	syn55175989	syn55175994	syn55175987	syn55175988
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR381PXW	2013-07-31	John Stamatoyannopoulos, UW & Zhiping Weng, UMass	/human-donors/ENCDO190HXC/	ENCFF111HWL	unfiltered alignments	paired-ended & single-ended	False	syn55175995	syn55175998	syn55175991	syn55175992
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR468AKF	2020-10-05	John Stamatoyannopoulos, UW	/human-donors/ENCDO383AQS/	ENCFF213FNG	alignments	paired-ended	False	syn55175999	syn55176003	syn55175996	syn55175997
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR891VOV	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO579CCQ/	ENCFF448DRO	unfiltered alignments	single-ended	True	syn55176005	syn55176008	syn55176000	syn55176001
CL:0000312	keratinocyte	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000ELH	2011-04-19	Gregory Crawford, Duke	/human-donors/ENCDO302AAA/	ENCFF478FRB	unfiltered alignments	single-ended	False	syn55176009	syn55176013	syn55176006	syn55176007
