Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	DNase Experiment accession	DNase Experiment date released	DNase Lab	DNase Donor(s)	DNase File accession	DNase Output type	DNase Run type	ENCODE-rE2G v1
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR186NTL	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO005XFE/	ENCFF648TSX	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR198UKY	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO072JRH/	ENCFF293MVC	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR213WNV	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO923WRX/	ENCFF967WOH	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR217PZP	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO769UME/	ENCFF906TNE	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR218FJD	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO091HDH/	ENCFF285DGZ	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR251INE	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO045VWP/	ENCFF377VKY	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR270JQK	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO143ACT/	ENCFF727ZRD	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR283MZJ	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO299FMV/	ENCFF870ABZ	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR290NGL	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO473DQU/	ENCFF728ZLL	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR299BQG	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO252GAA/	ENCFF126MXQ	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR305WLF	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO637QAZ/	ENCFF337XYS	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR310ZGQ	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO838UOH/	ENCFF992HSL	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR342OGI	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO783NZG/	ENCFF278OYI	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR354SDH	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO299FMV/	ENCFF485IKK	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR366YTD	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO028NGF/	ENCFF575SPN	unfiltered alignments	single-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR385XHV	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO941PAP/	ENCFF664LPX	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR389IHS	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO937YKH/	ENCFF251CIK	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR396ZIN	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO181KWF/	ENCFF288WLP	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR410IYF	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO249TXE/	ENCFF907FEO	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR419OAR	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO786GVO/	ENCFF018HDG	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR420HOT	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO923WRX/	ENCFF425CQF	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR442GKD	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO496TPO/	ENCFF127DTN	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR457RVC	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO256UFN/	ENCFF787OWI	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR467MSP	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO737JLN/	ENCFF821PAI	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR473LSX	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO323QDI/	ENCFF800GJQ	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR496UER	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO033NXX/	ENCFF715TCC	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR497NLU	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO000TPT/	ENCFF407PIT	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR507XBY	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO654TNZ/	ENCFF809SGB	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR540VTN	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO804YUR/	ENCFF096GHS	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR541PUY	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO656FVT/	ENCFF365VAK	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR552TPH	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO490PGB/	ENCFF558ELY	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR560MXA	2022-01-26	John Stamatoyannopoulos, UW	/human-donors/ENCDO282XZV/	ENCFF633EYK	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR561ZLY	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO394DKX/	ENCFF201MUP	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR581RSO	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO712ENO/	ENCFF890PGM	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR597URK	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO518VWP/	ENCFF051GHB	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR627QIA	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO648MMV/	ENCFF283USW	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR627UDJ	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO441UHQ/	ENCFF221YGE	unfiltered alignments	single-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR628IRM	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO190HXC/	ENCFF945AXF	unfiltered alignments	single-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR630XDN	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO012QTA/	ENCFF283NJI	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR631XIF	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO204VTZ/	ENCFF845VIU	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR635URJ	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO011KGM/	ENCFF304ENV	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR642DZF	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO188AUM/	ENCFF608NVR	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR715TMH	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO808WEZ/	ENCFF423ZPD	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR784RMA	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO462FPT/	ENCFF547RIP	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR785RIM	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO668ZVJ/	ENCFF427ZCV	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR788SKJ	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO147QAL/	ENCFF346ZFK	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR803JVQ	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO348MRX/	ENCFF055SUH	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR815DWW	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO737NEB/	ENCFF387TXI	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR837ZSS	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO880DKA/	ENCFF824MHY	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR863LZT	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO483JHX/	ENCFF167LIP	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR878ITC	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO865QXP/	ENCFF625OES	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR926SNI	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO923WRX/	ENCFF252DLW	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR934IKS	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO299FMV/	ENCFF475QIO	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR965JHW	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO240EBF/	ENCFF207YBC	alignments	paired-ended	FALSE
CL:0000103	bipolar neuron	in vitro differentiated cells	Homo sapiens	doxycycline hyclate	0.5 μg/mL	4 day	NA	NA	NA	NA	NA	NA	ENCSR626RVD	2016-05-10	John Stamatoyannopoulos, UW	/human-donors/ENCDO336AAA/	ENCFF772EJG, ENCFF125JWY	alignments, alignments	paired-ended, paired-ended	TRUE
CL:0000115	endothelial cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR541IET	2021-08-31	John Stamatoyannopoulos, UW	/human-donors/ENCDO336AAA/	ENCFF537CMG, ENCFF271JOQ	alignments, alignments	paired-ended, paired-ended	TRUE
CL:0000127	astrocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR146KFX	2021-02-27	John Stamatoyannopoulos, UW	/human-donors/ENCDO336AAA/	ENCFF639ETA	alignments	paired-ended	FALSE
CL:0000127	astrocyte	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EPM	2010-12-16	John Stamatoyannopoulos, UW	/human-donors/ENCDO916IIE/	ENCFF368UGK, ENCFF451KYB	unfiltered alignments, unfiltered alignments	single-ended, single-ended	TRUE
CL:0000134	mesenchymal stem cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR731QLJ	2013-07-31	John Stamatoyannopoulos, UW	/human-donors/ENCDO000AAW/	ENCFF701GQV	unfiltered alignments	paired-ended & single-ended	TRUE
CL:0000136	adipocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR405TXU	2015-08-31	John Stamatoyannopoulos, UW	/human-donors/ENCDO029QEV/	ENCFF723BNI, ENCFF239CCZ	alignments, alignments	paired-ended, paired-ended	TRUE
CL:0000137	osteocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR818HHN	2021-11-04	John Stamatoyannopoulos, UW	/human-donors/ENCDO222AAA/	ENCFF039RUP	alignments	paired-ended	TRUE
CL:0000138	chondrocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR970DQR	2021-11-04	John Stamatoyannopoulos, UW	/human-donors/ENCDO222AAA/	ENCFF098QWQ, ENCFF099TKH	alignments, alignments	paired-ended, paired-ended	TRUE
CL:0000169	type B pancreatic cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR362ZFC	2021-11-04	John Stamatoyannopoulos, UW	/human-donors/ENCDO222AAA/	ENCFF843AJO	alignments	paired-ended	TRUE
CL:0000182	hepatocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR364MFN	2016-06-14	John Stamatoyannopoulos, UW	/human-donors/ENCDO222AAA/	ENCFF538CJS, ENCFF851CVH	alignments, alignments	paired-ended, paired-ended	TRUE
CL:0000182	hepatocyte	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EJU	2011-04-19	Gregory Crawford, Duke	/human-donors/ENCDO102AAA/	ENCFF071UJW	unfiltered alignments	single-ended	FALSE
CL:0000187	myocyte	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EPD	2012-06-12	John Stamatoyannopoulos, UW	/human-donors/ENCDO000ACW/	ENCFF139KTJ, ENCFF517TZQ	unfiltered alignments, unfiltered alignments	single-ended, paired-ended & single-ended	TRUE
CL:0000188	skeletal muscle cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EQA	2010-12-14	John Stamatoyannopoulos, UW	/human-donors/ENCDO094AAA/	ENCFF724SPV	unfiltered alignments	single-ended	TRUE
CL:0000222	mesodermal cell	in vitro differentiated cells	Homo sapiens	Activin A, Fibroblast growth factor 2, Bone morphogenetic protein 4	6 ng/mL, 5 ng/mL, 10 ng/mL	2 day	NA	NA	NA	NA	NA	NA	ENCSR000EMX	2012-03-06	John Stamatoyannopoulos, UW	/human-donors/ENCDO221AAA/	ENCFF604YMS	unfiltered alignments	single-ended	TRUE
CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR166KPV	2017-12-13	John Stamatoyannopoulos, UW	/human-donors/ENCDO222AAA/	ENCFF308CYR, ENCFF579AOS	alignments, alignments	paired-ended, paired-ended	TRUE
CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR940CXU	2022-01-26	John Stamatoyannopoulos, UW	/human-donors/ENCDO000AAW/	ENCFF953MMX	alignments	paired-ended	FALSE
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EII	2012-08-28	Gregory Crawford, Duke	/human-donors/ENCDO115AAA/	ENCFF047WQS	unfiltered alignments	single-ended	FALSE
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EMJ	2011-10-19	John Stamatoyannopoulos, UW	/human-donors/ENCDO114AAA/	ENCFF168UUE, ENCFF138JHZ	unfiltered alignments, unfiltered alignments	single-ended, single-ended	FALSE
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR247IUJ	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO028NGF/	ENCFF389YHU	unfiltered alignments	single-ended	FALSE
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR381PXW	2013-07-31	John Stamatoyannopoulos, UW & Zhiping Weng, UMass	/human-donors/ENCDO190HXC/	ENCFF111HWL	unfiltered alignments	paired-ended & single-ended	FALSE
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR468AKF	2020-10-05	John Stamatoyannopoulos, UW	/human-donors/ENCDO383AQS/	ENCFF213FNG	alignments	paired-ended	FALSE
CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR891VOV	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO579CCQ/	ENCFF448DRO	unfiltered alignments	single-ended	TRUE
CL:0000312	keratinocyte	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000ELH	2011-04-19	Gregory Crawford, Duke	/human-donors/ENCDO302AAA/	ENCFF478FRB	unfiltered alignments	single-ended	FALSE
CL:0000312	keratinocyte	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EPQ	2011-05-04	John Stamatoyannopoulos, UW	/human-donors/ENCDO268AAA/	ENCFF898SOZ, ENCFF474YKG	unfiltered alignments, unfiltered alignments	single-ended, single-ended	TRUE
CL:0000351	trophoblast cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR179CDH	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO000AAW/	ENCFF235GOT	unfiltered alignments	single-ended	FALSE
CL:0000351	trophoblast cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR121ZSL	2016-05-09	John Stamatoyannopoulos, UW	/human-donors/ENCDO096FKE/, /human-donors/ENCDO333OMW/	ENCFF787BIT, ENCFF143HYS	alignments, alignments	paired-ended, paired-ended	TRUE
CL:0000351	trophoblast cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR593LTJ	2016-05-09	John Stamatoyannopoulos, UW	/human-donors/ENCDO070KYQ/, /human-donors/ENCDO960IHW/	ENCFF610MXQ, ENCFF854SID	alignments, alignments	paired-ended, paired-ended	FALSE
CL:0000351	trophoblast cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR809LCE	2016-05-09	John Stamatoyannopoulos, UW	/human-donors/ENCDO623MQT/	ENCFF139OOY	alignments	paired-ended	FALSE
CL:0000351	trophoblast cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR964MZQ	2016-05-09	John Stamatoyannopoulos, UW	/human-donors/ENCDO204REL/, /human-donors/ENCDO671XTD/	ENCFF809XEZ, ENCFF632VEJ	alignments, alignments	paired-ended, paired-ended	FALSE
CL:0000515	skeletal muscle myoblast	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EOO	2011-05-04	John Stamatoyannopoulos, UW	/human-donors/ENCDO094AAA/	ENCFF253FMQ, ENCFF372SZT	unfiltered alignments, unfiltered alignments	paired-ended & single-ended, single-ended	TRUE
CL:0000545	T-helper 1 cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EIG	2012-03-28	Gregory Crawford, Duke	/human-donors/ENCDO174AAA/	ENCFF112GVG	unfiltered alignments	single-ended	FALSE
CL:0000545	T-helper 1 cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EQC	2010-12-14	John Stamatoyannopoulos, UW	/human-donors/ENCDO334AAA/	ENCFF995TGB, ENCFF533FVX	unfiltered alignments, unfiltered alignments	single-ended, paired-ended & single-ended	FALSE
CL:0000545	T-helper 1 cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EQD	2012-07-23	John Stamatoyannopoulos, UW	/human-donors/ENCDO285AAA/	ENCFF752UQO	unfiltered alignments	paired-ended & single-ended	TRUE
CL:0000545	T-helper 1 cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EQE	2012-07-23	John Stamatoyannopoulos, UW	/human-donors/ENCDO286AAA/	ENCFF936EGM, ENCFF944ZQZ	unfiltered alignments, unfiltered alignments	single-ended, single-ended	FALSE
CL:0000545	T-helper 1 cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR035SZE	2020-09-28	John Stamatoyannopoulos, UW	/human-donors/ENCDO100JZM/	ENCFF681FDL	alignments	paired-ended	FALSE
CL:0000545	T-helper 1 cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR058ELM	2020-09-28	John Stamatoyannopoulos, UW	/human-donors/ENCDO739OLY/	ENCFF663ZYE	alignments	paired-ended	FALSE
